,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
146,3074,7.2,-6.075,147.572,58,1992-05-15T07:05:05.339962Z,0,5,3,15,1.2,-999,0.217166818,-999,-999,-999,1,1,3,0,11,2,6.7,0,0,0,6.2,0,36.94187276,165.8980988,156.1879214,1,3
147,3077,7.2,7.075,-76.862,10,1992-10-18T15:11:59.109960Z,4,15,4,16,1.6,-999,1.326834004,0.5,-999,3.648604735,1,1,6,2,7,2,6.7,0,6.7,0,5.6,0,46.47544658,58.96757464,156.1879214,-1,3
148,3080,7.1,5.397,121.937,33,1999-03-04T08:52:01.899988Z,0,3,0,4,1.2,-999,0.53851679,-999,-999,-999,1,1,3,0,3,0,0,0,0,0,5.9,0,0,30.0660665,133.823798,-1,3
149,3082,7.7,11.742,-87.34,44.8,1992-09-02T00:16:01.689976Z,2,23,3,25,1.7,-999,1.535411743,2,-999,2.065171458,1,1,6,1,6,1,5.7,0,5.7,0,6,0,18.45050419,195.9717968,338.2345089,1,3
150,3099,7.1,11.76,121.899,18.1,1990-06-14T07:40:56.209989Z,0,3,0,4,1.5,-999,5.362220919,-999,-999,-999,1,1,2,0,3,0,0,0,0,0,5.6,0,0,73.33138619,133.823798,-1,1
151,3132,7.7,26.951,65.5009,15,2013-09-24T11:29:47.970038Z,0,9,0,13,0.9,-999,0.373897403,-999,-999,-999,1,1,2,0,2,0,0,0,0,0,6.8,0,0,203.2029754,338.2345089,1,3
152,3136,7,51.537,-175.2297,29,2013-08-30T16:25:02.299985Z,0,24,0,28,0.5,-999,1.500486106,-999,-999,-999,1,1,24,0,28,0,0,0,0,0,6.5,0,0,61.8843823,114.6619326,1,3
153,3138,7.4,46.857,155.154,36,2009-01-15T17:49:39.069985Z,0,1,0,8,2.3,-999,inf,-999,-999,-999,1,-1,0,0,4,0,0,0,0,0,6,0,0,186.3875401,212.7529709,-1,3
154,3139,7.6,-22.122,175.163,33.2,1990-03-03T12:16:27.959980Z,0,10,0,16,1,-999,0.407635184,-999,-999,-999,1,1,2,0,4,0,0,0,0,0,6.6,0,0,285.9433225,289.8036301,1,1
155,3140,7.1,9.8796,124.1167,19.04,2013-10-15T00:12:32.049964Z,0,20,0,20,1.4,-999,1.138295072,-999,-999,-999,1,1,14,0,14,0,0,0,0,0,5.7,0,0,61.37650085,133.823798,-1,3
156,3142,7.4,16.493,-98.231,20,2012-03-20T18:02:47.439999Z,0,13,0,19,1.4,-999,0.54666636,-999,-999,-999,1,1,1,0,4,0,0,0,0,0,6,0,0,83.8930088,212.7529709,1,3
157,3159,7,57.3424,-154.3469,43.6,1999-12-06T23:12:33.536964Z,0,2,0,9,0.6,-999,50.61816933,-999,-999,-999,1,-1,2,0,9,0,0,0,0,0,6.5,0,0,61.83886678,114.6619326,-1,1
158,3160,7.1,-5.982,-77.094,19.8,1991-04-05T04:19:49.519978Z,2,9,7,9,1.6,-999,0.306820388,0.6,-999,64.05029121,1,1,5,2,5,6,6.6,0,6.5,0,5.5,0,21.1641903,51.71524637,133.823798,-1,3
159,3161,7.6,9.685,-83.073,10,1991-04-22T21:56:51.819967Z,0,12,8,19,1.4,-999,0.528971039,-999,-999,-999,2,1,2,0,3,5,7.3,0,0,0,6.2,0,237.597269,251.7208421,289.8036301,1,3
160,3168,7.1,53.452,169.871,24.8,1990-11-06T20:14:29.739955Z,0,1,0,2,2.1,-999,inf,-999,-999,-999,-1,-1,0,0,1,0,0,0,0,0,5.3,0,0,35.33316517,133.823798,1,3
161,3177,7.7,15.679,121.172,25.1,1990-07-16T07:26:34.610006Z,0,52,0,79,1.2,1.352294195,1.957572048,-999,-999,-999,1,1,5,0,6,0,0,0,0,0,6.5,0,0,310.6891227,338.2345089,-1,1
162,3187,7.4,36.957,49.409,18.5,1990-06-20T21:00:09.979980Z,0,6,0,7,1.6,-999,0.379178077,-999,-999,-999,1,1,3,0,3,0,0,0,0,0,5.8,0,0,51.39489404,212.7529709,-1,1
163,3191,7.9,-13.802,97.453,10,2000-06-18T14:44:13.310013Z,0,3,0,3,2.1,-999,0.889469698,-999,-999,-999,1,1,0,0,0,0,0,0,0,0,5.8,0,0,66.33179861,460.7295875,-1,1
164,3192,8.6,2.327,93.063,20,2012-04-11T08:38:36.719976Z,0,75,3,105,0.4,1.182289878,3.217356055,-999,-999,-999,2,2,1,0,1,1,7.2,0,0,0,8.2,0,45.32476457,974.4730273,1019.309388,-1,1
165,3195,7.2,5.121,32.145,14.9,1990-05-20T02:22:01.619992Z,0,7,0,14,0.1,-999,0.709413773,-999,-999,-999,2,2,4,0,9,0,0,0,0,0,7.1,0,0,62.34151044,156.1879214,-1,1
166,3198,7.6,15.125,147.596,11.4,1990-04-05T21:12:35.550026Z,0,43,4,62,1.3,1.821918314,2.834582517,-999,-999,-999,1,1,3,0,5,1,5.6,0,0,0,6.3,0,89.81130131,213.0728107,289.8036301,-1,2
167,3205,7.8,1.186,122.857,25.7,1990-04-18T13:39:19.009983Z,0,36,0,103,1.3,0.995834481,1.323889582,-999,-999,-999,2,1,5,0,20,0,0,0,0,0,7.5,0,0,404.8545147,394.7589718,1,3
168,3218,7.7,-23.008,169.9,20.2,1995-05-16T20:12:44.219978Z,0,26,1,47,1.2,-999,2.76730355,-999,-999,-999,1,1,5,0,10,1,6.1,0,0,0,6.5,0,106.7160021,304.9328452,338.2345089,-1,2
