,Unnamed: 0.1,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle,rates_bg,rates_fs,rates_as,time_fs,time_as
48,48,499,-999.0,-999.0,500,25.0,2.1,-999.0,2.1,-999.0,-14.96,-173.085,7.7,5,0,5,0,1981-09-01T09:29:29.999997,-999.0,-999.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.6,51974.000003,0.0,58.335391206836285,338.2345089289617,1.0,2.0,0.01833504402743646,,5.161907037815385,0.0,0.968634259270987
49,49,509,-999.0,-999.0,510,33.0,2.1,-999.0,2.1,-999.0,-33.134,-73.074,7.2,1,0,1,0,1981-10-16T03:25:40.999998,-999.0,-999.0,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,15.035543304360733,156.1879214416901,1.0,3.0,0.0,,0.15765128775808523,0.0,6.343113425971457
50,50,511,-999.0,-999.0,512,33.0,2.1,-999.0,2.1,-999.0,18.048,-102.084,7.3,2,0,2,0,1981-10-25T03:22:14.000001,-999.0,-999.0,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.2,801.999998,0.0,74.44865351233578,182.28945197042378,1.0,3.0,0.0022560623944378583,,0.2554021697375328,0.0,7.830787036990816
51,51,520,-999.0,-999.0,521,10.0,0.7,-999.0,0.7,-999.0,39.243,25.227,7.2,4,0,4,0,1981-12-19T14:10:49.000002,-999.0,-999.0,1,1,0,2,0,2,0.0,0.0,0.0,0.0,6.5,841795.0,0.0,63.388504214690414,156.1879214416901,-1.0,2.0,0.0005290537829921871,,0.41055126248077023,0.0,9.742997685185186
52,52,521,-999.0,-999.0,522,33.0,1.7,0.3,1.7,0.3,-29.934,-177.741,7.1,3,9,3,9,1981-12-26T17:05:30.999997,-999.0,-999.0,2,2,6,3,6,3,6.8,165853.999994,6.8,165853.999994,5.4,47838.000004,70.27281187305499,56.26574216615085,133.82379803431266,1.0,3.0,0.025790267498358395,3.6280163484515793,5.418286717219825,2.480694444456172,0.5536805556017768
53,53,526,-999.0,-999.0,527,45.0,1.2,-999.0,1.2,-999.0,13.752,124.358,7.1,2,0,2,0,1982-01-11T06:10:04.999996,-999.0,-999.0,-1,-1,0,2,0,2,0.0,0.0,0.0,0.0,5.9,2352.000006,0.0,31.31113464976784,133.82379803431266,1.0,3.0,0.000753365435556032,,73.46938756891511,0.0,0.02722222229120908
54,54,559,-999.0,-999.0,560,33.0,2.0,0.1,2.0,0.1,16.558,-98.358,7.0,1,1,1,1,1982-06-07T10:59:39.000002,-999.0,-999.0,-1,-1,1,1,1,1,6.9,0.0,6.9,0.0,5.0,-0.0,22.937130607069758,10.868609371417053,114.66193259390072,1.0,3.0,0.0016077204878618973,5.828779597326044,0.1209614757301654,0.1715625000572591,8.26709490739637
55,55,567,-999.0,-999.0,568,10.0,1.7,-999.0,1.7,-999.0,-51.225,160.513,7.0,1,0,1,0,1982-07-07T10:43:01.999998,-999.0,-999.0,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.3,5634.000001,0.0,17.421840538288034,114.66193259390072,1.0,1.0,inf,,15.335463256190089,0.0,0.06520833334437123
56,56,568,-999.0,-999.0,569,36.0,0.9,1.8,0.9,1.8,36.194,141.702,7.1,6,2,6,2,1982-07-23T14:23:51.999999,-999.0,-999.0,1,1,2,3,2,3,5.3,-149855.0,5.3,-149855.0,6.2,12608.999998,9.842937603055727,50.73835524256164,133.82379803431266,1.0,3.0,0.012507378748095864,2.3015143645777103,3.366058905943572,0.8689930555210621,1.7825000000462212
57,57,572,-999.0,-999.0,573,30.0,1.5,-999.0,1.5,-999.0,-12.597,165.931,7.0,1,0,1,0,1982-08-05T20:32:51.000000,-999.0,-999.0,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.5,555.000002,0.0,44.17078722276985,114.66193259390072,1.0,3.0,0.002004110469404112,,155.67567512395175,0.0,0.006423611133876774
