,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr
110,7.6,-3.3,142.95,13.0,2002-09-08T18:44:21.119996Z,1,7,1,10,1,1,0.0,3,0,4,0
111,7.6,10.81,126.64,28.0,2012-08-31T12:47:31.200005Z,0,20,0,24,1,1,3.0,1,0,1,0
112,7.6,23.42,70.23,16.0,2001-01-26T03:16:42.239997Z,0,3,0,3,1,1,0.0,1,0,1,0
113,7.6,-13.01,166.51,45.0,2009-10-07T22:03:12.960004Z,0,0,0,0,-1,-1,3.0,0,0,0,0
114,7.6,23.77,120.98,33.0,1999-09-20T17:47:19.680004Z,1,11,1,16,1,1,3.0,4,0,6,0
115,7.5,1.07,126.28,22.0,2007-01-21T11:27:44.639999Z,1,20,1,29,1,1,3.0,8,1,12,1
116,7.5,-4.73,152.56,41.0,2015-03-29T23:48:28.799997Z,1,11,1,37,2,1,3.0,4,1,12,1
117,7.5,-5.46,151.88,55.0,2015-05-05T01:44:06.720000Z,1,1,1,6,5,-1,3.0,1,1,2,1
118,7.5,-55.28,-31.88,10.0,2016-08-19T07:32:26.880002Z,0,22,0,28,1,1,3.0,4,0,4,0
119,7.5,-6.76,155.02,43.4,2014-04-19T13:27:59.040004Z,15,30,15,36,2,2,3.0,6,8,7,8
120,7.5,8.39,126.78,33.0,1989-12-15T18:43:46.560004Z,1,9,1,10,1,1,3.0,7,1,7,1
121,7.5,-1.68,136.04,5.0,1979-09-12T05:17:48.479995Z,0,1,0,4,1,-1,1.0,1,0,3,0
122,7.5,-9.62,-79.57,33.0,1996-02-21T12:51:07.200000Z,0,0,0,0,-1,-1,0.0,0,0,0,0
123,7.5,35.07,87.32,33.0,1997-11-08T10:02:55.680003Z,0,1,0,1,-1,-1,1.0,0,0,0,0
124,7.5,-12.41,166.38,33.0,1980-07-08T23:19:23.520005Z,0,0,0,0,-1,-1,3.0,0,0,0,0
125,7.5,15.32,-89.1,5.0,1976-02-04T09:01:43.680005Z,0,0,0,0,-1,-1,1.0,0,0,0,0
126,7.5,-8.15,124.87,10.0,2004-11-11T21:26:38.400001Z,1,8,1,10,1,1,3.0,0,1,0,1
127,7.5,6.03,124.25,31.0,2002-03-05T21:16:07.679996Z,0,4,0,6,1,1,3.0,1,0,3,0
128,7.5,1.17,122.76,33.0,1991-06-20T05:18:48.960003Z,0,2,0,5,1,-1,0.0,0,0,1,0
129,7.5,-21.95,169.43,10.0,2018-12-05T04:18:11.519997Z,7,13,7,17,1,1,2.0,2,2,4,2
