,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
77,77,-999,-999,943,10,1.1,-999.0,1.1,-999.0,-1.639,134.911,7.1,7,0,7,0,1985-11-17T09:40:20.000000,-999,-999,1,1,0,5,0,5,0.0,0.0,0.0,0.0,6.0,16831.999996,0.0,66.13137768306197,133.82379803431266,1.0,1.0
78,78,-999,-999,945,33,-999.0,-999.0,-999.0,-999.0,-13.987,166.185,7.0,14,4,14,4,1985-11-28T03:49:52.999999,-999,-999,3,3,4,14,4,14,7.0,-50989.000004,7.0,-50989.000004,6.6,668453.000002,29.329379027360584,58.353330471038184,114.66193259390072,-1.0,2.0
79,79,-999,-999,951,43,0.6,-999.0,0.6,-999.0,-13.966,166.516,7.1,8,0,8,0,1985-12-21T01:13:20.999998,-999,-999,1,1,0,8,0,8,0.0,0.0,0.0,0.0,6.5,5591.000002,0.0,60.3519592271638,133.82379803431266,1.0,3.0
80,80,-999,-999,986,33,1.5,1.7,1.5,1.7,51.52,-174.776,8.0,84,3,85,3,1986-05-07T22:47:08.999998,-999,-999,1,1,1,3,1,3,6.3,-3905.000002,6.3,-3905.000002,6.5,0.0,22.30540590665758,153.32062083853498,537.7249613305888,1.0,3.0
81,81,-999,-999,1019,33,1.1,-999.0,1.1,-999.0,1.795,126.519,7.5,28,0,29,0,1986-08-14T19:39:12.000001,-999,-999,1,1,0,9,0,9,0.0,0.0,0.0,0.0,6.4,244325.999999,0.0,77.57197970647843,248.30743700128235,1.0,3.0
82,82,-999,-999,1038,29,1.6,-999.0,1.6,-999.0,-28.117,-176.367,7.7,54,0,55,0,1986-10-20T06:46:08.000002,-999,-999,1,1,0,9,0,9,0.0,0.0,0.0,0.0,6.1,28516.999997,0.0,139.84369331933704,338.2345089289617,-1.0,1.0
83,83,-999,-999,1048,33,1.1,-999.0,1.1,-999.0,23.901,121.574,7.4,11,0,12,0,1986-11-14T21:20:09.000000,-999,-999,1,1,0,4,0,3,0.0,0.0,0.0,0.0,6.3,6266.999997,0.0,52.449535422306774,212.75297086326285,1.0,3.0
84,84,-999,-999,1069,47,1.6,-999.0,1.6,-999.0,-60.063,-26.916,7.0,10,0,10,0,1987-01-30T22:29:41.000003,-999,-999,1,1,0,10,0,10,0.0,0.0,0.0,0.0,5.4,36842.0,0.0,47.657604623781516,114.66193259390072,1.0,3.0
85,85,-999,-999,1076,54,1.3,-999.0,1.3,-999.0,-6.088,147.689,7.4,14,0,14,0,1987-02-08T18:33:57.000000,-999,-999,1,1,0,9,0,9,0.0,0.0,0.0,0.0,6.1,1111948.0,0.0,38.08412402368812,212.75297086326285,-1.0,1.0
86,86,-999,-999,1087,62,0.6,-999.0,0.6,-999.0,-24.388,-70.161,7.6,9,0,10,0,1987-03-05T09:17:03.999997,-999,-999,1,1,0,6,0,6,0.0,0.0,0.0,0.0,7.0,5887.000005,0.0,66.01058374699092,289.8036300972396,1.0,3.0
87,87,-999,-999,1088,10,1.2,0.8,1.2,0.8,0.151,-77.821,7.2,3,1,3,1,1987-03-06T04:10:40.000001,-999,-999,1,1,1,3,1,3,6.4,-14646.999996,6.4,-14646.999996,6.0,14646.999996,21.91902535313298,48.03297938920249,156.1879214416901,-1.0,3.0
88,88,-999,-999,1136,33,0.6,-999.0,0.6,-999.0,-58.893,158.513,7.4,5,0,5,0,1987-09-03T06:40:12.000002,-999,-999,1,1,0,3,0,3,0.0,0.0,0.0,0.0,6.8,4882.999996,0.0,88.48865033950312,212.75297086326285,1.0,1.0
89,89,-999,-999,1147,16,2.2,-999.0,2.2,-999.0,-17.94,-172.225,7.3,1,0,1,0,1987-10-06T04:19:04.999999,-999,-999,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.1,46331.000005,0.0,27.084131947770434,182.28945197042378,-1.0,2.0
