,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
74,74,3052,7.2,45.324,149.892,42.6,1996-02-07T21:36:46.300033Z,0,3,3,7,1.4000000000000004,-999.0,0.8670714851119881,-999.0,-999.0,-999.0,1,1,2,0,5,3,5.5,-0.0,0.0,0.0,5.8,0.0,94.11640542909285,66.09348560465229,156.1879214416901,1.0,3.0
75,75,3059,7.1,15.978,-98.07,21.1,1996-02-25T03:08:15.869992Z,0,5,0,10,0.8999999999999995,-999.0,4.399686237024148,-999.0,-999.0,-999.0,2,1,5,0,10,0,0.0,0.0,0.0,0.0,6.9,-0.0,0.0,49.71069849226141,133.82379803431266,1.0,3.0
76,76,3081,7.0,-20.23,169.789,33.0,1993-12-29T07:48:14.200009Z,0,4,0,5,0.5,-999.0,139.054305624144,-999.0,-999.0,-999.0,1,1,4,0,5,0,0.0,0.0,0.0,0.0,6.5,-0.0,0.0,40.92656521127145,114.66193259390072,-1.0,1.0
77,77,3143,7.0,-7.782,107.297,46.0,2009-09-02T07:55:01.050006Z,0,2,0,4,1.5,-999.0,534.306341742077,-999.0,-999.0,-999.0,1,-1,2,0,4,0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,16.857952733221772,114.66193259390072,-1.0,3.0
78,78,3157,7.1,-55.664,158.453,16.0,2008-04-12T00:30:12.600026Z,0,3,0,4,2.0,-999.0,0.5451001500787633,-999.0,-999.0,-999.0,1,1,3,0,4,0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,40.355552399307,133.82379803431266,1.0,3.0
79,79,3219,7.7,38.19,142.028,44.0,1978-06-12T08:14:26.399991Z,1,4,3,6,1.4000000000000004,-999.0,0.4409931175031945,2.0,-999.0,inf,1,1,2,1,2,2,6.0,-0.0,5.7,-0.0,6.3,0.0,39.783012931217264,36.850969502196584,338.2345089289617,1.0,3.0
80,80,3244,7.2,4.554,-77.442,21.3,1991-11-19T22:28:51.090034Z,0,2,0,2,2.0,-999.0,0.148341610331737,-999.0,-999.0,-999.0,-1,-1,1,0,1,0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,23.549273256390492,156.1879214416901,1.0,3.0
81,81,3300,7.0,54.567,-161.606,28.4,1991-05-30T13:17:41.969986Z,0,3,0,6,1.4000000000000004,-999.0,1.6529037343549684,-999.0,-999.0,-999.0,1,1,3,0,6,0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,15.454011563159058,114.66193259390072,-1.0,3.0
82,82,3332,7.7,26.951,65.5009,15.0,2013-09-24T11:29:47.970038Z,0,6,0,8,0.9000000000000004,-999.0,1.565885067113372,-999.0,-999.0,-999.0,1,1,2,0,2,0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,63.14131241143456,338.2345089289617,1.0,3.0
83,83,3363,7.2,40.758,31.161,10.0,1999-11-12T16:57:19.549988Z,0,3,0,3,1.7000000000000002,-999.0,0.7456818848314682,-999.0,-999.0,-999.0,1,1,2,0,2,0,0.0,0.0,0.0,0.0,5.5,-0.0,0.0,37.947989459119704,156.1879214416901,1.0,1.0
84,84,3399,7.2,38.276,142.039,36.0,2005-08-16T02:46:28.399956Z,0,0,1,6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-1,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.1879214416901,1.0,3.0
85,85,3417,7.0,16.558,-98.358,33.8,1982-06-07T10:59:40.160028Z,1,1,1,8,2.0,-999.0,inf,0.0999999999999996,-999.0,inf,2,-1,1,1,8,1,6.9,-0.0,6.9,-0.0,6.4,0.0,22.937130607069758,39.43294995708843,114.66193259390072,1.0,3.0
86,86,3431,7.0,-22.293,171.742,33.0,1981-07-06T03:08:24.180025Z,0,0,0,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-1,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.66193259390072,-1.0,2.0
87,87,3436,7.0,23.247,122.075,33.0,1978-12-23T11:23:11.999957Z,0,2,0,2,2.0,-999.0,24.996383657759644,-999.0,-999.0,-999.0,-1,-1,2,0,2,0,0.0,0.0,0.0,0.0,5.0,-0.0,0.0,30.11579256696367,114.66193259390072,1.0,1.0
88,88,3502,7.4,22.282,121.512,17.0,1978-07-23T14:42:36.899975Z,0,8,0,10,1.9000000000000004,-999.0,0.3903827801415289,-999.0,-999.0,-999.0,1,1,3,0,3,0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,37.374502512183064,212.75297086326285,1.0,3.0
89,89,3534,8.1,-49.312,161.345,10.0,2004-12-23T14:59:04.409978Z,0,4,0,4,2.5,-999.0,6.734737668127685,-999.0,-999.0,-999.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.6,-0.0,0.0,27.29773367207301,470.69063154972355,1.0,1.0
90,90,3578,7.2,-25.856,-175.406,33.0,1977-10-10T11:53:53.599976Z,0,1,0,3,1.7999999999999998,-999.0,inf,-999.0,-999.0,-999.0,1,-1,1,0,2,0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,37.511408704492915,156.1879214416901,-1.0,2.0
91,91,3595,7.5,-8.152,124.868,10.0,2004-11-11T21:26:41.150026Z,1,18,1,22,1.0999999999999996,-999.0,1.114097423601156,1.9000000000000004,-999.0,inf,1,1,3,1,5,1,5.6,-0.0,5.6,-0.0,6.4,0.0,6.633602893521989,60.55317895498187,248.30743700128235,1.0,3.0
92,92,3605,7.2,16.3855,-97.9787,22.0,2018-02-16T23:39:39.279977Z,0,3,0,4,1.2999999999999998,-999.0,1.3251124557753893,-999.0,-999.0,-999.0,1,1,3,0,3,0,0.0,0.0,0.0,0.0,5.9,-0.0,0.0,28.635843548300457,156.1879214416901,1.0,3.0
93,93,3609,7.0,40.381,63.472,10.0,1976-05-17T02:58:40.599958Z,2,1,5,5,2.0,-999.0,inf,1.9000000000000004,-999.0,0.1128982234984948,2,1,1,2,5,5,7.0,-0.0,5.1,-0.0,6.0,0.0,54.195643720297575,22.931533989737606,114.66193259390072,-1.0,3.0
94,94,3628,7.6,34.539,73.588,26.0,2005-10-08T03:50:40.799962Z,0,40,0,44,1.1999999999999993,1.0657533298239317,1.3828020469282984,-999.0,-999.0,-999.0,1,1,11,0,11,0,0.0,0.0,0.0,0.0,6.4,-0.0,0.0,61.62985428245461,289.8036300972396,1.0,3.0
95,95,3633,7.0,3.397,96.318,33.0,1976-06-20T20:53:13.400043Z,0,11,0,17,1.2000000000000002,-999.0,0.4360876077206685,-999.0,-999.0,-999.0,1,1,11,0,17,0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,27.236946937586104,114.66193259390072,-1.0,3.0
96,96,3637,7.0,7.409,-78.127,3.0,1976-07-11T20:41:47.499991Z,2,16,2,18,1.4000000000000004,-999.0,0.9188008426505044,0.2999999999999998,-999.0,33.54102384469846,2,2,16,2,18,2,6.7,-0.0,6.7,-0.0,5.7,0.0,38.67464941749948,47.77302391560659,114.66193259390072,-1.0,1.0
97,97,3668,7.1,36.194,141.702,36.6,1982-07-23T14:23:53.570029Z,3,6,3,8,0.8999999999999995,-999.0,1.1275538802206475,1.7999999999999998,-999.0,2.9446126547965394,1,1,3,2,5,2,5.3,0.0,5.3,0.0,6.2,-0.0,10.948758038224812,33.597892761554704,133.82379803431266,1.0,3.0
98,98,3673,7.0,44.915,149.123,41.0,1976-01-21T10:05:24.099989Z,0,42,0,47,1.2000000000000002,1.3511383881434549,2.047423168291941,-999.0,-999.0,-999.0,1,1,42,0,47,0,0.0,0.0,0.0,0.0,6.1,-0.0,0.0,110.35405867165818,114.66193259390072,-1.0,3.0
99,99,3677,8.0,-28.427,-177.657,33.0,1976-01-14T16:47:33.499999Z,10,34,10,42,1.7000000000000002,1.0044906384156838,1.5624967754125831,1.7999999999999998,-999.0,0.7524115050029652,1,1,3,1,3,1,6.2,-0.0,6.2,-0.0,6.3,0.0,141.4601184023064,183.43565531341588,537.7249613305888,1.0,3.0
100,100,3752,7.2,-8.031,155.538,33.0,1977-07-29T11:15:45.300036Z,0,2,0,2,2.2,-999.0,0.2768216643534253,-999.0,-999.0,-999.0,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,31.506700234117933,156.1879214416901,-1.0,1.0
101,101,3761,7.1,-15.7675,-74.7092,39.0,2018-01-14T09:18:45.539972Z,0,2,0,2,1.5999999999999996,-999.0,0.2145581984170379,-999.0,-999.0,-999.0,-1,-1,1,0,1,0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,14.043519132014593,133.82379803431266,1.0,3.0
102,102,3790,7.7,-22.247,-69.89,40.0,2007-11-14T15:40:50.530019Z,0,2,0,3,2.4000000000000004,-999.0,14.955704074275769,-999.0,-999.0,-999.0,1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,37.585352112364916,338.2345089289617,1.0,3.0
103,103,3818,7.0,-61.029,-34.371,13.0,2006-08-20T03:41:48.040027Z,0,4,0,5,1.0999999999999996,-999.0,0.2363785703300692,-999.0,-999.0,-999.0,1,1,4,0,5,0,0.0,0.0,0.0,0.0,5.9,-0.0,0.0,23.369384461807826,114.66193259390072,1.0,1.0
104,104,3831,7.0,11.422,-86.665,35.0,2004-10-09T21:26:53.690030Z,0,0,2,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-1,0,0,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.66193259390072,1.0,3.0
105,105,3848,7.7,16.01,-96.591,18.0,1978-11-29T19:52:47.600025Z,0,4,0,8,2.0,-999.0,0.1379862322824325,-999.0,-999.0,-999.0,1,1,1,0,1,0,0.0,0.0,0.0,0.0,5.7,-0.0,0.0,31.58246009043528,338.2345089289617,1.0,3.0
106,106,3870,7.7,-14.96,-173.085,25.0,1981-09-01T09:29:31.539989Z,1,5,51,25,2.0,-999.0,8.61022069558165,1.9000000000000004,-999.0,inf,1,1,1,1,6,13,6.5,0.0,5.8,0.0,6.4,-0.0,86.04428851966198,69.11837500156118,338.2345089289617,1.0,2.0
