,Unnamed: 0.1,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
58,58,58,59,7.8,-5.23,153.1,30.0,2000-11-16T07:42:14.400000Z,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-1,-1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.75897176315374,1.0,3.0
59,59,59,60,7.8,16.01,-96.59,18.0,1978-11-29T19:52:45.120004Z,0,2,0,3,2.2,-999.0,0.1127637261642938,-999.0,-999,-999.0,1,-1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,371.9926637683955,394.75897176315374,1.0,3.0
60,60,60,61,7.8,-4.95,94.33,24.0,2016-03-02T12:49:49.440001Z,0,3,0,4,2.1,-999.0,1.425449016386814,-999.0,-999,-999.0,1,1,1.0,0,0,0,0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,85.12160188954445,394.75897176315374,-1.0,1.0
61,61,61,62,7.8,51.15,178.65,33.0,2003-11-17T06:43:03.359997Z,1,7,1,7,1.5999999999999996,-999.0,0.3265123351687084,2.2,-999,inf,1,1,0.0,1,0,1,0,5.6,2144905.919992,5.6,2144905.919992,6.2,1099621.440001,139.18509155768496,146.21600223039172,394.75897176315374,1.0,3.0
62,62,62,63,7.8,54.47,168.82,11.0,2017-07-17T23:34:13.440002Z,2,4,2,5,2.2,-999.0,0.1896273821946669,1.5,-999,161.29032249100172,1,1,1.0,0,1,0,1,6.3,-1894354.559996,6.3,-1894354.559996,5.6,0.0,16.43553694837455,316.16115345873254,394.75897176315374,1.0,1.0
63,63,63,64,7.8,-45.76,166.56,12.0,2009-07-15T09:22:27.840004Z,0,9,0,10,1.7000000000000002,-999.0,0.4428218576862014,-999.0,-999,-999.0,1,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,6.1,1250432.639998,0.0,79.467174796397,394.75897176315374,1.0,3.0
64,64,64,65,7.8,54.84,162.04,33.0,1997-12-05T11:26:52.799996Z,3,22,3,23,1.3999999999999997,-999.0,0.8132335274007051,2.3,-999,7.618080244520847,1,1,3.0,4,0,4,0,5.5,45904.319993,5.5,45904.319993,6.4,-45904.319993,56.157651014843225,170.686348213343,394.75897176315374,1.0,3.0
65,65,65,66,7.8,0.35,-79.93,21.0,2016-04-16T23:58:33.599996Z,0,15,0,18,1.7000000000000002,-999.0,1.5601759878488906,-999.0,-999,-999.0,1,1,3.0,5,0,7,0,0.0,0.0,0.0,0.0,6.9,2707110.720001,0.0,207.77026106437935,394.75897176315374,1.0,3.0
66,66,66,67,7.8,-60.27,-46.4,10.0,2013-11-17T09:04:53.760004Z,5,4,5,5,2.7,-999.0,0.16115126463445,0.8999999999999995,-999,1.897533206908247,1,1,0.0,0,2,0,2,6.9,292749.119999,6.9,292749.119999,5.1,-106220.160006,39.724772564333215,253.95795266088086,394.75897176315374,-1.0,3.0
67,67,67,68,7.7,-9.25,107.41,34.0,2006-07-17T08:19:32.160000Z,0,17,0,17,1.6000000000000003,-999.0,0.6562591683266304,-999.0,-999,-999.0,1,1,0.0,6,0,6,0,0.0,0.0,0.0,0.0,6.1,16364.160003,0.0,150.79256187140612,338.2345089289617,1.0,3.0
68,68,68,69,7.7,-22.25,-69.89,40.0,2007-11-14T15:40:53.759996Z,0,18,0,19,0.9000000000000004,-999.0,0.6465633362667719,-999.0,-999,-999.0,1,1,3.0,8,0,9,0,0.0,0.0,0.0,0.0,6.8,84136.320003,0.0,165.95611263974368,338.2345089289617,1.0,3.0
69,69,69,70,7.7,-28.1,-176.43,33.0,1986-10-20T06:46:13.439996Z,0,23,0,32,1.6000000000000003,-999.0,0.7772449707184047,-999.0,-999,-999.0,1,1,0.0,8,0,10,0,0.0,0.0,0.0,0.0,6.1,1192803.840007,0.0,201.3661380852046,338.2345089289617,-1.0,1.0
70,70,70,71,7.7,40.45,143.49,33.0,1994-12-28T12:19:26.400000Z,1,18,1,20,0.7000000000000002,-999.0,0.768590277334306,2.5,-999,inf,1,1,0.0,6,0,8,0,5.2,1565567.999999,5.2,1565567.999999,7.0,690491.519997,269.8402128572879,189.76665611270045,338.2345089289617,1.0,3.0
71,71,71,72,7.7,-12.58,166.68,33.0,1997-04-21T12:02:26.880002Z,0,8,0,9,1.7999999999999998,-999.0,1.494014603985686,-999.0,-999,-999.0,1,1,0.0,3,0,3,0,0.0,0.0,0.0,0.0,5.9,129798.719994,0.0,172.74554575334986,338.2345089289617,1.0,3.0
72,72,72,73,7.7,40.37,139.15,33.0,1983-05-26T03:00:00.000000Z,0,5,0,5,0.9000000000000004,-999.0,0.2237156484625067,-999.0,-999,-999.0,1,1,3.0,3,0,3,0,0.0,0.0,0.0,0.0,6.8,2056415.040004,0.0,105.67169141771541,338.2345089289617,-1.0,3.0
73,73,73,74,7.7,-14.99,-75.68,33.0,1996-11-12T16:59:39.840004Z,0,8,0,8,1.6000000000000003,-999.0,0.446929871117589,-999.0,-999,-999.0,1,1,3.0,4,0,4,0,0.0,0.0,0.0,0.0,6.1,-0.0,0.0,64.93716871005508,338.2345089289617,1.0,3.0
74,74,74,75,7.7,-6.89,72.12,10.0,1983-11-30T17:46:01.919995Z,0,9,0,9,1.4000000000000004,-999.0,0.3213803643742979,-999.0,-999,-999.0,1,1,2.0,3,0,3,0,0.0,0.0,0.0,0.0,6.3,183133.440008,0.0,118.88618724435044,338.2345089289617,-1.0,2.0
