,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
89,7.9,1996-06-10T04:03:33.999998,1996-06-10T04:03:35.479989Z,1996-06-10T04:03:35.479989Z,51.564,-177.632,33.0,2106,3371,42,31,0,30,0,125,6,50,2,33,2,1,1,1,1,1
90,7.7,1996-11-12T16:59:43.000002,1996-11-12T16:59:44.029963Z,1996-11-12T16:59:44.029963Z,-14.993,-75.675,33.0,2167,3219,74,19,0,19,0,25,0,19,0,19,0,1,1,1,1,1
91,7.2,1997-01-11T20:28:25.000003,1997-01-11T20:28:26.019979Z,1997-01-11T20:28:26.019979Z,18.219,-102.756,33.0,2180,3280,276,2,0,1,0,2,0,2,0,2,0,-1,-1,-1,-1,-1
92,7.7,1997-04-21T12:02:25.000002,1997-04-21T12:02:26.430024Z,1997-04-21T12:02:26.430024Z,-12.584,166.676,33.0,2202,3400,82,2,0,2,0,53,4,34,0,34,0,1,-1,-1,1,1
93,7.3,1997-05-10T07:57:27.999997,1997-05-10T07:57:29.719960Z,1997-05-10T07:57:29.719960Z,33.825,59.809,10.0,2208,3237,187,1,0,1,0,5,0,1,0,1,0,-1,-1,-1,-1,1
94,7.8,1997-12-05T11:26:52.999999,1997-12-05T11:26:54.689998Z,1997-12-05T11:26:54.689998Z,54.841,162.035,33.0,2253,3440,63,56,0,56,0,83,0,62,0,62,3,1,1,1,1,1
95,8.1,1998-03-25T03:12:24.000002,1998-03-25T03:12:25.069968Z,1998-03-25T03:12:25.069968Z,-62.877,149.527,10.0,2278,1477,20,4,0,4,0,9,0,7,0,7,0,1,1,1,1,1
96,7.5,1998-05-03T23:30:19.999997,1998-05-03T23:30:21.910037Z,1998-05-03T23:30:21.910037Z,22.306,125.308,33.0,2283,1481,129,2,0,2,0,4,0,3,0,3,0,1,-1,-1,1,1
97,7.2,1998-08-04T18:59:18.999999,1998-08-04T18:59:20.099992Z,1998-08-04T18:59:20.099992Z,-0.593,-80.393,33.0,2304,567,239,0,1,0,1,0,1,0,1,0,1,-1,-1,-1,-1,-1
98,7.7,1998-11-29T14:10:30.000003,1998-11-29T14:10:31.959983Z,1998-11-29T14:10:31.959983Z,-2.071,124.891,33.0,2330,3339,72,3,0,3,0,26,5,11,1,4,0,1,1,1,1,1
99,7.6,1999-08-17T00:01:38.000002,1999-08-17T00:01:39.129999Z,1999-08-17T00:01:39.129999Z,40.748,29.864,17.0,2384,3067,96,5,0,5,0,15,0,6,0,6,1,1,1,1,1,2
100,7.7,1999-09-20T17:47:16.999998,1999-09-20T17:47:18.490009Z,1999-09-20T17:47:18.490009Z,23.772,120.982,33.0,2390,2977,80,24,0,23,0,44,1,25,0,25,1,1,1,1,1,1
101,7.3,1999-12-11T18:03:35.000003,1999-12-11T18:03:36.449973Z,1999-12-11T18:03:36.449973Z,15.766,119.74,33.0,2421,2961,196,2,0,2,0,10,0,5,0,5,0,1,-1,-1,1,1
102,7.6,2000-05-04T04:21:15.000002,2000-05-04T04:21:16.210023Z,2000-05-04T04:21:16.210023Z,-1.105,123.573,26.0,2461,3858,104,6,0,5,0,16,1,9,0,9,0,1,1,1,1,1
103,7.9,2000-06-04T16:28:25.000003,2000-06-04T16:28:26.170032Z,2000-06-04T16:28:26.170032Z,-4.721,102.087,33.0,2469,4063,36,44,0,42,0,115,2,50,0,50,0,1,1,1,1,1
104,7.9,2000-06-18T14:44:12.000001,2000-06-18T14:44:13.310013Z,2000-06-18T14:44:13.310013Z,-13.802,97.453,10.0,2476,3191,37,2,0,2,0,3,0,3,0,3,0,1,-1,-1,1,1
105,8.0,2000-11-16T04:54:55.000001,2000-11-16T04:54:56.740031Z,2000-11-16T04:54:56.740031Z,-3.98,152.169,33.0,2521,3934,30,14,0,14,0,256,24,170,4,171,5,3,1,1,3,3
106,7.5,2001-01-01T06:57:02.999998,2001-01-01T06:57:04.169981Z,2001-01-01T06:57:04.169981Z,6.898,126.579,33.0,2541,3911,137,9,0,9,0,18,0,12,0,12,2,1,1,1,1,1
107,7.7,2001-01-13T17:33:31.000002,2001-01-13T17:33:32.379955Z,2001-01-13T17:33:32.379955Z,13.049,-88.66,60.0,2544,3936,78,12,0,9,0,26,0,11,0,11,0,1,1,1,1,1
108,7.7,2001-01-26T03:16:38.999998,2001-01-26T03:16:40.499995Z,2001-01-26T03:16:40.499995Z,23.419,70.232,16.0,2551,1719,73,9,0,9,0,9,0,9,0,9,0,1,1,1,1,1
109,8.4,2001-06-23T20:33:13.000004,2001-06-23T20:33:14.130024Z,2001-06-23T20:33:14.130024Z,-16.265,-73.641,33.0,2600,3918,7,56,0,55,0,93,40,63,0,62,0,1,1,1,1,1
110,7.6,2002-09-08T18:44:22.000002,2002-09-08T18:44:23.710014Z,2002-09-08T18:44:23.710014Z,-3.302,142.945,13.0,2627,3974,105,16,4,16,0,31,7,18,1,18,1,1,1,1,1,1
111,7.5,2001-10-19T03:28:42.999998,2001-10-19T03:28:44.460019Z,2001-10-19T03:28:44.460019Z,-4.102,123.907,33.0,2632,794,152,2,0,2,0,5,3,4,0,4,0,1,-1,-1,1,1
112,7.8,2001-11-14T09:26:08.999998,2001-11-14T09:26:10.010002Z,2001-11-14T09:26:10.010002Z,35.946,90.541,10.0,2638,4038,59,5,0,5,0,14,0,12,0,12,0,1,1,1,1,1
113,7.2,2002-01-02T17:22:47.000002,2002-01-02T17:22:48.760000Z,2002-01-02T17:22:48.760000Z,-17.6,167.856,21.0,2653,4069,252,5,0,5,0,25,7,22,1,22,1,1,1,1,1,1
114,7.5,2002-03-05T21:16:08.000002,2002-03-05T21:16:09.129968Z,2002-03-05T21:16:09.129968Z,6.033,124.249,31.0,2671,4088,145,6,0,6,0,12,0,6,0,6,0,1,1,1,1,1
115,7.6,2002-10-10T10:50:18.999999,2002-10-10T10:50:20.570034Z,2002-10-10T10:50:20.570034Z,-1.757,134.297,10.0,2730,3962,95,17,0,16,0,71,6,18,5,18,8,1,1,1,1,5
116,7.4,2002-11-02T01:26:08.999999,2002-11-02T01:26:10.700017Z,2002-11-02T01:26:10.700017Z,2.824,96.085,30.0,2737,3988,171,6,0,6,0,10,0,6,0,6,0,1,1,1,1,1
117,7.9,2002-11-03T22:12:39.999998,2002-11-03T22:12:41.517964Z,2002-11-03T22:12:41.517964Z,63.514,-147.453,4.0,2739,4023,44,13,1,13,0,20,2,19,1,19,1,1,1,1,1,1
118,7.6,2003-01-22T02:06:33.000002,2003-01-22T02:06:34.610024Z,2003-01-22T02:06:34.610024Z,18.77,-104.104,24.0,2758,1821,114,3,0,3,0,8,0,4,0,4,0,1,1,1,1,1
119,7.6,2003-07-15T20:27:49.000000,2003-07-15T20:27:50.529979Z,2003-07-15T20:27:50.529979Z,-2.598,68.382,10.0,2805,3476,111,4,0,3,0,9,0,6,0,6,0,1,1,1,1,1
120,7.6,2003-08-04T04:37:18.999999,2003-08-04T04:37:20.129980Z,2003-08-04T04:37:20.129980Z,-60.532,-43.411,10.0,2810,3469,109,8,0,8,0,9,0,9,0,9,0,1,1,1,1,1
121,7.2,2003-08-21T12:12:47.999998,2003-08-21T12:12:49.789961Z,2003-08-21T12:12:49.789961Z,-45.104,167.144,28.0,2814,3707,248,12,0,12,0,18,0,13,0,13,0,1,1,1,1,1
122,8.2,2003-09-25T19:50:05.000002,2003-09-25T19:50:06.360003Z,2003-09-25T19:50:06.360003Z,41.815,143.91,27.0,2824,3759,12,37,0,31,0,101,5,46,1,46,2,1,1,1,1,1
123,7.8,2003-11-17T06:43:05.000000,2003-11-17T06:43:06.800021Z,2003-11-17T06:43:06.800021Z,51.146,178.65,33.0,2841,4047,62,20,0,20,0,57,68,25,4,23,1,1,1,1,1,1
124,7.3,2003-12-27T16:00:57.999997,2003-12-27T16:00:59.449966Z,2003-12-27T16:00:59.449966Z,-22.015,169.766,10.0,2855,3769,199,8,0,8,0,71,14,43,14,43,14,5,1,1,5,5
125,7.5,1999-09-30T16:31:13.999999,1999-09-30T16:31:15.690024Z,1999-09-30T16:31:15.690024Z,16.059,-96.931,60.0,2864,2337,135,2,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1
126,7.4,2004-09-05T14:57:16.999996,2004-09-05T14:57:18.609988Z,2004-09-05T14:57:18.609988Z,33.184,137.071,10.0,2944,1728,170,8,3,8,3,9,3,8,3,8,3,2,2,2,2,2
127,7.5,2004-11-11T21:26:39.999997,2004-11-11T21:26:41.150026Z,2004-11-11T21:26:41.150026Z,-8.152,124.868,10.0,2969,2524,150,17,0,17,0,27,1,19,1,19,1,1,1,1,1,1
128,8.1,2004-12-23T14:59:02.999997,2004-12-23T14:59:04.409978Z,2004-12-23T14:59:04.409978Z,-49.312,161.345,10.0,2983,2486,17,5,0,5,0,13,0,6,0,6,0,1,1,1,1,1
129,9.1,2004-12-26T00:58:52.000003,2004-12-26T00:58:53.449996Z,2004-12-26T00:58:53.449996Z,3.295,95.982,30.0,2984,2927,2,119,0,102,0,827,5,314,1,310,3,1,1,1,1,1
