,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
153,1,1,24.22,8.2291,-82.7884,4.57,2,2,2,2,1,1,0,0,2020-09-25T23:37:51.000037Z
154,-1,-1,16.67,10.7022,-85.5348,4.57,0,0,0,0,0,0,0,0,2014-03-21T13:05:34.999950Z
155,-1,-1,21.81,8.6422,-83.2704,4.56,0,0,0,0,0,0,0,0,2018-08-22T10:28:57.999964Z
156,-1,-1,21.84,8.2873,-82.9882,4.56,0,0,0,0,0,0,0,0,2020-09-05T16:29:15.000033Z
157,-1,-1,33.47,8.4162,-83.0538,4.56,1,1,1,1,0,0,0,0,2017-01-21T04:54:21.999966Z
158,-1,-1,30.11,8.289,-82.8711,4.55,0,0,0,0,0,0,0,0,2016-06-15T18:17:04.000018Z
159,-1,-1,8.78,9.8544,-84.0528,4.55,2,2,2,2,0,0,0,0,2021-07-20T23:57:14.000035Z
160,1,1,8.08,9.0005,-84.0963,4.55,2,2,1,1,2,2,1,1,2017-04-08T18:16:35.000035Z
161,-1,-1,33.72,8.191,-82.8458,4.55,0,0,0,0,0,0,0,0,2016-09-04T06:07:37.000016Z
162,-1,-1,19.12,8.1119,-82.9437,4.55,0,0,0,0,0,0,0,0,2021-01-29T15:09:43.999981Z
163,-1,-1,18.4,8.3213,-83.4283,4.55,0,0,0,0,0,0,0,0,2021-09-29T19:10:33.000033Z
164,-1,-1,31.12,9.3129,-84.4533,4.55,0,0,0,0,0,0,0,0,2015-05-25T23:49:25.999999Z
165,1,1,31.6,9.4688,-83.7837,4.55,3,3,3,3,0,0,0,0,2016-01-18T00:46:21.000003Z
166,5,5,4.52,9.343,-83.2595,4.54,6,6,5,5,6,6,5,5,2019-05-03T21:30:39.999967Z
167,-1,-1,17.79,8.3165,-83.0056,4.54,0,0,0,0,0,0,0,0,2020-09-13T07:24:21.000018Z
168,-1,-1,58.62,9.3772,-83.9997,4.54,0,0,0,0,0,0,0,0,2016-10-26T22:27:44.999998Z
169,-1,-1,15.37,8.3296,-82.9929,4.53,0,0,0,0,0,0,0,0,2020-09-05T16:28:46.000049Z
170,-1,-1,43.72,8.5035,-82.9234,4.53,0,0,0,0,0,0,0,0,2016-10-23T09:57:00.999972Z
171,1,1,23.53,8.3135,-82.8074,4.53,4,4,4,4,0,0,0,0,2020-10-10T05:43:15.000030Z
172,-1,-1,38.67,9.3864,-84.2052,4.52,0,0,0,0,0,0,0,0,2014-07-25T04:21:16.999980Z
173,-1,-1,16.0,8.9772,-84.1204,4.51,2,2,1,1,0,0,0,0,2015-12-04T02:56:24.999999Z
174,-1,-1,47.17,9.8147,-84.6412,4.51,0,0,0,0,0,0,0,0,2019-12-29T23:03:40.000027Z
175,-1,-1,26.21,8.5089,-82.7223,4.51,0,0,0,0,0,0,0,0,2014-03-12T20:36:10.000002Z
176,3,3,16.85,9.4103,-84.5887,4.5,10,10,10,10,6,6,5,5,2017-11-14T16:06:05.000029Z
177,-1,-1,16.43,10.0546,-83.5099,4.5,0,0,0,0,0,0,0,0,2015-06-11T18:43:58.999949Z
178,-1,-1,48.03,8.724,-83.0893,4.5,0,0,0,0,0,0,0,0,2014-11-17T19:28:56.999970Z
179,-1,-1,27.27,8.0668,-82.9663,4.49,0,0,0,0,1,1,1,1,2020-01-30T08:27:21.000014Z
180,-1,-1,43.67,8.5953,-82.9965,4.49,0,0,0,0,0,0,0,0,2019-12-15T15:28:03.000035Z
181,-1,-1,18.77,8.9455,-84.0566,4.49,0,0,0,0,1,1,1,1,2020-05-29T23:02:54.999970Z
182,-1,-1,18.12,8.0688,-82.8539,4.49,0,0,0,0,0,0,0,0,2016-05-04T07:04:37.999987Z
183,-1,-1,42.13,8.3792,-82.8701,4.48,0,0,0,0,0,0,0,0,2019-06-27T04:33:10.999980Z
184,-1,-1,32.9,8.2567,-82.7568,4.48,2,2,2,2,0,0,0,0,2017-03-18T05:00:10.999984Z
185,-1,-1,19.78,9.4999,-84.8421,4.48,0,0,0,0,0,0,0,0,2020-09-03T20:28:12.000029Z
186,-1,-1,18.37,9.6778,-85.0836,4.48,0,0,0,0,0,0,0,0,2014-09-09T11:47:17.000045Z
187,-1,-1,0.0,8.9433,-84.1221,4.48,0,0,0,0,0,0,0,0,2020-01-21T12:29:16.000001Z
188,-1,-1,11.89,8.4911,-83.1113,4.47,0,0,0,0,0,0,0,0,2015-07-11T19:17:52.999980Z
189,-1,-1,22.3,9.4301,-84.5394,4.47,1,1,1,1,0,0,0,0,2015-02-21T20:46:42.000013Z
190,-1,-1,23.79,10.71,-85.0037,4.47,0,0,0,0,1,1,0,0,2014-12-03T17:04:18.999956Z
191,-1,-1,35.39,9.0789,-83.7393,4.47,0,0,0,0,0,0,0,0,2020-02-10T08:16:49.000002Z
192,-1,-1,35.24,10.2665,-85.4856,4.47,0,0,0,0,0,0,0,0,2021-06-07T02:27:36.000003Z
193,-1,-1,16.41,9.4786,-84.5752,4.47,0,0,0,0,0,0,0,0,2018-02-06T21:39:20.000014Z
194,-1,-1,11.95,8.8858,-84.1334,4.46,0,0,0,0,1,1,1,1,2019-12-18T11:31:51.000018Z
195,-1,-1,14.93,9.9338,-83.6269,4.46,0,0,0,0,0,0,0,0,2017-08-19T21:38:03.999983Z
196,-1,-1,10.22,9.33,-83.2865,4.46,0,0,0,0,0,0,0,0,2017-12-31T13:38:14.000036Z
197,2,2,6.27,8.9975,-84.1818,4.45,2,2,2,2,3,3,3,3,2016-01-16T20:20:37.999997Z
198,1,1,13.13,9.799,-84.0963,4.45,4,4,4,4,1,1,1,1,2018-07-27T17:50:45.999997Z
199,1,1,30.96,8.3303,-82.8258,4.45,3,3,3,3,0,0,0,0,2020-12-02T19:57:28.000003Z
200,-1,-1,3.79,9.5726,-82.7727,4.45,0,0,0,0,0,0,0,0,2019-06-01T18:07:40.999984Z
201,-1,-1,0.0,8.4697,-83.01100000000001,4.45,1,1,1,1,1,1,1,1,2020-09-25T06:09:18.999965Z
202,-1,-1,24.35,8.0149,-82.979,4.45,0,0,0,0,0,0,0,0,2018-02-07T05:52:47.000005Z
203,-1,-1,10.12,8.3233,-82.9445,4.44,1,1,1,1,0,0,0,0,2014-08-28T10:52:20.999968Z
204,-1,-1,44.65,8.2378,-82.6307,4.44,0,0,0,0,0,0,0,0,2017-02-19T02:45:34.000020Z
205,1,1,8.72,9.8756,-83.9315,4.43,3,3,3,3,1,1,0,0,2014-07-26T05:49:50.000019Z
206,-1,-1,11.77,8.9931,-84.1134,4.43,0,0,0,0,0,0,0,0,2019-12-04T08:08:38.000030Z
207,-1,-1,24.46,10.379000000000001,-85.8797,4.43,0,0,0,0,0,0,0,0,2014-11-06T11:45:31.000036Z
208,-1,-1,25.83,9.3554,-82.63600000000001,4.43,0,0,0,0,0,0,0,0,2018-06-28T08:01:13.000020Z
209,-1,-1,8.87,10.1621,-84.1545,4.43,2,2,2,2,0,0,0,0,2015-03-31T09:09:23.000034Z
210,-1,-1,17.81,8.6547,-83.9386,4.42,0,0,0,0,0,0,0,0,2017-12-26T07:13:32.000018Z
211,1,1,34.93,8.2507,-82.8005,4.42,2,2,2,2,1,1,1,1,2016-05-16T21:54:47.000045Z
212,-1,-1,16.37,9.3164,-84.2096,4.42,0,0,0,0,0,0,0,0,2018-08-21T09:34:56.999972Z
213,-1,-1,40.62,8.3277,-82.8069,4.41,0,0,0,0,0,0,0,0,2019-06-28T05:38:01.999967Z
214,2,2,10.7,8.9142,-84.0592,4.41,3,3,3,3,0,0,0,0,2015-01-10T06:33:49.999973Z
215,-1,-1,45.71,10.0974,-85.1278,4.41,0,0,0,0,0,0,0,0,2019-10-17T13:06:56.000044Z
216,-1,-1,8.88,8.8992,-84.1053,4.41,0,0,0,0,0,0,0,0,2014-08-31T10:19:16.999967Z
