,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
115,-999.0,-999,1,1,116,14.0,1.0,-999.0,2.0,26.9,143.7,7.4,13,13,0,0,2010-12-21T17:19:40.800006Z,0.7339283798844011,-999.0
116,-999.0,-999,1,1,117,10.0,0.8000000000000007,-999.0,3.0,-49.27,164.12,7.4,6,6,0,0,2007-09-30T05:23:34.080002Z,0.5321083017759857,-999.0
117,-999.0,-999,2,2,118,10.0,0.8000000000000007,0.20000000000000018,1.0,33.18,137.07,7.4,6,6,1,1,2004-09-05T14:57:15.839997Z,1.4175683976790556,inf
118,-999.0,-999,0,0,119,41.7,-999.0,-999.0,0.0,-37.77,-75.05,7.4,0,0,0,0,2010-02-27T08:01:23.519999Z,-999.0,-999.0
119,-999.0,-999,0,0,120,33.0,1.6000000000000005,-999.0,0.0,-16.42,168.21,7.4,2,2,0,0,1999-11-26T13:21:12.960000Z,0.3025581289831818,-999.0
120,-999.0,-999,0,0,121,39.0,-999.0,-999.0,3.0,-11.46,162.05,7.4,0,0,0,0,2014-04-13T12:36:17.280003Z,-999.0,-999.0
121,-999.0,-999,0,0,122,30.0,2.2,-999.0,1.0,1.27,122.09,7.3,1,1,0,0,2008-11-16T17:02:32.640002Z,inf,-999.0
122,-999.0,-999,1,1,123,5.0,0.7999999999999998,-999.0,1.0,34.18,-116.51,7.3,5,5,0,0,1992-06-28T11:57:33.119998Z,0.4787712813786158,-999.0
123,-999.0,-999,0,0,124,10.0,0.5999999999999996,0.2999999999999998,1.0,-4.0,135.02,7.3,7,7,3,3,2004-02-07T02:42:34.559996Z,2.069781194569692,3.806623524908193
124,-999.0,-999,0,0,125,38.0,-999.0,-999.0,0.0,3.75,96.02,7.3,0,0,0,0,2010-05-09T05:59:42.719999Z,-999.0,-999.0
125,-999.0,-999,1,1,126,24.0,0.7999999999999998,-999.0,3.0,17.4,-100.96,7.3,3,3,0,0,2014-04-18T14:27:27.359998Z,0.2640752086192979,-999.0
126,-999.0,-999,0,0,127,11.0,-999.0,-999.0,1.0,-60.86,-25.07,7.3,0,0,0,0,2013-07-15T14:03:41.759995Z,-999.0,-999.0
127,-999.0,-999,0,0,128,33.0,-999.0,-999.0,0.0,41.77,143.59,7.3,0,0,0,0,2003-09-25T21:08:03.840003Z,-999.0,-999.0
128,-999.0,-999,3,3,129,35.0,0.39999999999999947,0.39999999999999947,0.0,-5.93,150.59,7.3,11,11,3,3,2010-07-18T13:35:02.399999Z,0.2392458969329025,0.06500612140968474
129,-999.0,-999,0,0,130,23.0,-999.0,-999.0,1.0,43.9,147.9,7.3,0,0,0,0,1994-10-09T07:55:37.920003Z,-999.0,-999.0
130,-999.0,-999,0,0,131,10.0,0.20000000000000018,0.5999999999999996,0.0,-22.01,169.77,7.3,23,23,8,8,2003-12-27T16:01:03.360003Z,0.4626640194238026,0.13882646518322744
131,-999.0,-999,0,0,132,40.0,-999.0,2.0,0.0,12.53,-88.12,7.3,0,0,1,1,2014-10-14T03:51:33.119996Z,-999.0,inf
132,-999.0,-999,1,1,133,31.0,1.2999999999999998,-999.0,3.0,-15.19,-173.59,7.3,5,5,0,0,1995-04-07T22:06:57.600005Z,0.170414652933652,-999.0
