,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
106,2373,35,1507,24.0,0.7290000000000001,119.931,7.9,10,10,10,235,38,0,1,0,0,0,1996-01-01T08:05:10.830021Z,1996-01-01T08:05:10.830021Z,1996-01-01T08:05:08.999999,1,1,1,4,1
107,2439,150,4008,20.0,16.493,-98.23100000000001,7.4,13,13,13,30,26,0,0,0,0,0,2012-03-20T18:02:47.439999Z,2012-03-20T18:02:47.439999Z,2012-03-20T18:02:45.999999,1,1,1,1,1
108,2639,3,3626,22.0,-36.122,-72.898,8.8,328,326,319,1127,494,3,7,0,378,0,2010-02-27T06:34:11.529981Z,2010-02-27T06:34:11.529981Z,2010-02-27T06:34:10.000000,1,1,1,5,1
109,2624,32,3255,19.0,31.002,103.322,7.9,50,50,50,92,65,0,0,0,0,0,2008-05-12T06:28:01.570018Z,2008-05-12T06:28:01.570018Z,2008-05-12T06:28:00.000000,1,1,1,1,1
110,2358,218,1427,20.0,12.059000000000001,125.58,7.2,46,45,46,75,66,5,6,5,10,5,1995-04-21T00:34:46.089982Z,1995-04-21T00:34:46.089982Z,1995-04-21T00:34:44.999999,4,4,4,4,4
111,2361,20,1515,33.0,-0.8909999999999999,136.952,8.1,37,37,36,228,47,0,1,0,0,0,1996-02-17T05:59:30.550049Z,1996-02-17T05:59:30.550049Z,1996-02-17T05:59:28.999999,1,1,1,1,1
112,1564,87,5129,14.0,19.419,-78.756,7.7,2,2,2,3,3,0,1,0,0,0,2020-01-28T19:10:24.918011Z,2020-01-28T19:10:24.918011Z,2020-01-28T19:10:23.000000,-1,1,-1,1,1
113,1881,46,4630,15.0,-42.736999999999995,173.054,7.8,40,40,40,42,41,0,0,0,0,0,2016-11-13T11:02:56.340035Z,2016-11-13T11:02:56.340035Z,2016-11-13T11:02:54.999998,1,1,1,1,1
114,2375,122,2258,31.0,6.0329999999999995,124.249,7.5,10,8,9,42,12,0,0,0,20,0,2002-03-05T21:16:09.129968Z,2002-03-05T21:16:09.129968Z,2002-03-05T21:16:08.000002,1,1,1,2,1
115,2575,219,1331,33.0,-16.62,167.518,7.2,25,25,24,43,24,1,2,1,9,1,1994-07-13T02:35:56.020043Z,1994-07-13T02:35:56.020043Z,1994-07-13T02:35:55.000003,1,1,1,1,1
116,2674,241,3222,10.0,35.49,81.467,7.2,15,15,15,19,18,0,0,0,0,0,2008-03-20T22:32:57.930004Z,2008-03-20T22:32:57.930004Z,2008-03-20T22:32:55.999999,1,1,1,1,1
117,2243,36,2037,10.0,-13.802,97.45299999999999,7.9,3,3,3,4,4,0,0,0,0,0,2000-06-18T14:44:13.310013Z,2000-06-18T14:44:13.310013Z,2000-06-18T14:44:12.000001,1,1,1,1,1
118,2699,99,726,33.0,-22.122,175.16299999999998,7.6,11,11,8,26,11,0,0,0,4,0,1990-03-03T12:16:27.959980Z,1990-03-03T12:16:27.959980Z,1990-03-03T12:16:26.000001,1,1,1,1,1
