,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
139,5.5,55.1016,-158.2373,18.4,2021-07-29T06:19:26.400000Z,0,0,0,0,-1,-1,0,0,0,0
140,5.5,51.3502,-175.0784,27.6,2013-08-31T06:43:55.199999Z,0,0,0,0,-1,-1,0,0,0,0
141,5.5,52.0921,-169.4519,27.0,2010-11-30T08:42:25.920000Z,1,26,1,26,4,4,18,1,18,1
142,5.5,52.2879,-169.1103,33.0,2015-07-27T07:40:47.999995Z,0,0,0,0,-1,-1,0,0,0,0
143,5.5,52.3304,-168.6741,18.8,2015-02-03T07:16:53.759998Z,0,4,0,4,2,2,4,0,4,0
144,5.5,52.29,-168.6929,11.24,2016-03-28T17:14:55.679997Z,0,1,0,1,-1,-1,0,0,0,0
145,5.5,65.1828,-151.3,30.9,2018-10-27T16:57:38.879998Z,1,0,1,0,-1,-1,0,1,0,1
146,5.5,51.28,-178.477,33.2,2010-08-08T12:04:27.839997Z,0,0,0,0,-1,-1,0,0,0,0
147,5.5,51.9784,-171.3507,41.2,2014-06-20T12:16:50.880003Z,2,2,2,2,1,1,2,0,2,0
148,5.5,54.9148,-160.2849,38.51,2020-07-27T19:34:36.480003Z,0,0,0,0,-1,-1,0,0,0,0
