,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
22,6512,51,2301,25.0,1.186,122.85700000000001,7.8,54,58,44,99,99,0,3,2,1,41,1990-04-18T13:39:19.009983Z,1990-04-18T13:39:19.009983Z,1990-04-18T13:39:18.000000,1,1,1,2,2
23,5241,377,5820,23.0,-15.421,166.91,7.0,2,15,2,2,2,0,0,0,0,0,2000-10-04T16:58:44.310030Z,2000-10-04T16:58:44.310030Z,2000-10-04T16:58:42.999998,0,1,0,0,0
24,6584,169,10452,25.0,-17.541,168.06900000000002,7.3,34,40,32,40,35,0,4,0,28,5,2010-08-10T05:23:44.979963Z,2010-08-10T05:23:44.979963Z,2010-08-10T05:23:43.000000,1,1,1,1,1
25,6177,192,6277,21.0,-17.6,167.856,7.2,31,33,29,84,29,2,2,2,10,10,2002-01-02T17:22:48.760000Z,2002-01-02T17:22:48.760000Z,2002-01-02T17:22:47.000002,1,1,1,1,1
26,4266,172,3066,52.0,52.05,-171.83599999999998,7.3,7,8,8,18,19,0,0,1,0,3,2011-06-24T03:09:39.470031Z,2011-06-24T03:09:39.470031Z,2011-06-24T03:09:37.999997,1,1,1,2,2
27,6693,165,3064,27.0,42.141999999999996,73.575,7.3,13,13,13,14,13,0,0,0,0,2,1992-08-19T02:04:37.409985Z,1992-08-19T02:04:37.409985Z,1992-08-19T02:04:35.999998,1,1,1,1,1
28,5895,89,6476,13.0,-3.302,142.945,7.6,45,48,40,53,40,2,5,5,16,29,2002-09-08T18:44:23.710014Z,2002-09-08T18:44:23.710014Z,2002-09-08T18:44:22.000002,1,1,1,1,1
29,4185,31,13962,14.0,56.004,-149.166,7.9,12,18,15,13,15,0,0,0,0,0,2018-01-23T09:31:40.890031Z,2018-01-23T09:31:40.890031Z,2018-01-23T09:31:39.000002,1,1,1,1,1
30,6883,54,13283,20.0,0.382,-79.922,7.8,10,28,27,19,30,1,2,2,1,6,2016-04-16T23:58:36.979971Z,2016-04-16T23:58:36.979971Z,2016-04-16T23:58:35.000001,1,1,1,1,1
31,7288,233,1684,24.0,17.397000000000002,-100.97200000000001,7.2,3,5,4,4,4,0,0,0,1,6,2014-04-18T14:27:24.919979Z,2014-04-18T14:27:24.919979Z,2014-04-18T14:27:23.000001,1,1,1,1,1
32,7445,75,4233,20.0,-23.008000000000003,169.9,7.7,40,53,31,49,31,0,3,1,1,4,1995-05-16T20:12:44.219988Z,1995-05-16T20:12:44.219988Z,1995-05-16T20:12:43.000003,1,1,1,1,1
33,5443,92,8121,22.0,60.949,167.08900000000003,7.6,24,50,50,25,50,0,0,0,0,0,2006-04-20T23:25:02.150033Z,2006-04-20T23:25:02.150033Z,2006-04-20T23:25:00.999997,1,1,1,1,1
34,6010,19,7293,10.0,-49.312,161.345,8.1,9,16,12,9,12,0,0,0,0,0,2004-12-23T14:59:04.409988Z,2004-12-23T14:59:04.409988Z,2004-12-23T14:59:02.999997,1,1,1,1,1
35,3997,185,3043,0.0,34.2,-116.43700000000001,7.3,23,25,22,26,32,3,3,3,4,4,1992-06-28T11:57:34.130021Z,1992-06-28T11:57:34.130021Z,1992-06-28T11:57:33.000000,1,1,1,1,2
36,4643,362,1094,47.0,-60.063,-26.916,7.0,12,13,23,18,25,0,1,5,1,15,1987-01-30T22:29:42.089968Z,1987-01-30T22:29:42.089968Z,1987-01-30T22:29:41.000003,1,1,1,1,1
37,4336,134,1328,47.0,-6.266,149.06,7.4,10,13,9,22,9,1,3,5,10,17,1987-10-16T20:48:01.639986Z,1987-10-16T20:48:01.639986Z,1987-10-16T20:48:00.000001,1,1,1,1,1
38,615,162,3606,40.0,12.526,-88.12299999999999,7.3,0,1,0,1,0,0,3,6,0,32,2014-10-14T03:51:34.459981Z,2014-10-14T03:51:34.459981Z,2014-10-14T03:51:32.999999,0,1,1,0,1
39,5015,102,11859,28.0,10.811,126.63799999999999,7.6,64,79,35,79,36,0,3,4,1,13,2012-08-31T12:47:33.379957Z,2012-08-31T12:47:33.379957Z,2012-08-31T12:47:32.000001,1,1,1,1,1
40,4831,361,335,6.0,39.431,75.22399999999999,7.0,21,21,21,25,24,1,2,4,1,4,1985-08-23T12:41:56.159979Z,1985-08-23T12:41:56.159979Z,1985-08-23T12:41:54.999998,1,1,1,1,1
