,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr
689,-999.000,-999.000,578,15.0,-999.0,0.4,-999.0,0.4, 9.770,-83.409,2.9,0,1,0,1,2018-11-17T10:36:38.000001,-999.000,-999.000,-1,-1, 1, 0,1,0
690,-999.000,-999.000,150,10.0,0.4,-999.0,0.4,-999.0, 8.947,-84.224,2.9,1,0,1,0,2015-02-20T07:04:40.999999,-999.000,-999.000,-1,-1, 0, 1,0,1
691,-999.000,-999.000,573,33.0,-999.0,0.5,-999.0,0.5, 9.053,-84.110,3.7,0,1,0,1,2018-10-22T05:12:28.999997,-999.000,-999.000,-1,-1, 1, 0,1,0
692,-999.000,-999.000,572,25.0,1.5,-999.0,1.5,-999.0, 8.700,-82.850,5.2,9,0,9,0,2018-10-22T01:28:39.999997,-999.000,-999.000,1,1, 0, 3,0,3
693,-999.000,-999.000,571,24.0,0.7,-999.0,0.7,-999.0, 8.704,-83.306,4.2,3,0,3,0,2018-10-20T15:37:42.999999,-999.000,-999.000,1,1, 0, 3,0,3
694,-999.000,-999.000,570,17.0,-999.0,0.3,-999.0,0.3,10.151,-85.394,2.7,0,1,0,1,2018-10-19T04:08:55.000000,-999.000,-999.000,-1,-1, 1, 0,1,0
695,-999.000,-999.000,577,35.0,0.3,-999.0,0.3,-999.0, 9.505,-84.437,2.9,1,0,1,0,2018-11-07T10:02:27.999999,-999.000,-999.000,-1,-1, 0, 1,0,1
696,-999.000,-999.000,576,29.0,2.0,-999.0,2.0,-999.0, 8.129,-83.114,5.3,2,0,2,0,2018-11-01T11:13:07.000003,-999.000,-999.000,-1,-1, 0, 1,0,1
697,-999.000,-999.000,575,4.0,-999.0,0.6,-999.0,0.6, 9.774,-83.910,3.0,0,1,0,1,2018-10-31T05:47:22.000000,-999.000,-999.000,-1,-1, 1, 0,1,0
698,-999.000,-999.000,574,33.0,-999.0,0.2,-999.0,0.2, 9.383,-83.641,2.8,0,1,0,1,2018-10-22T09:01:09.999997,-999.000,-999.000,-1,-1, 1, 0,1,0
699,-999.000,-999.000,60,24.0,0.8,-999.0,0.8,-999.0, 8.585,-83.216,3.6,1,0,1,0,2014-05-18T07:46:31.000001,-999.000,-999.000,-1,-1, 0, 1,0,1
