,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
94,-999.0,-999,0,0,95,19.0,-999.0,-999.0,2.0,17.48,-83.52,7.5,0,0,0,0,0,0,0,0,2018-01-10T02:51:30.240001Z,-999.0,-999.0
95,-999.0,-999,2,2,96,55.0,1.5,0.0,0.0,-5.46,151.88,7.5,13,13,13,13,19,19,19,19,2015-05-05T01:44:06.720000Z,0.23294443558465106,0.3309533721537583
96,-999.0,-999,0,0,97,10.0,1.5999999999999996,-999.0,1.0,55.39,-134.65,7.5,2,2,2,2,0,0,0,0,2013-01-05T08:58:16.319995Z,0.11911710402546116,-999.0
97,-999.0,-999,1,1,98,35.0,2.0,2.3,3.0,7.88,91.94,7.5,4,4,4,4,1,1,1,1,2010-06-12T19:26:49.920001Z,0.33212384898222774,inf
98,-999.0,-999,1,1,99,10.0,2.0999999999999996,1.9000000000000004,0.0,-8.15,124.87,7.5,8,8,8,8,1,1,1,1,2004-11-11T21:26:38.400001Z,0.25698517838068113,inf
99,-999.0,-999,1,1,100,10.0,0.7999999999999998,0.7999999999999998,1.0,-21.95,169.43,7.5,11,11,11,11,12,12,12,12,2018-12-05T04:18:11.519997Z,0.2351070378222065,0.2504184074222322
100,-999.0,-999,1,1,101,33.0,0.9000000000000004,0.5999999999999996,2.0,1.17,122.76,7.5,4,4,4,4,2,2,2,2,1991-06-20T05:18:48.960003Z,0.08203512744139091,0.3397546971104829
101,-999.0,-999,0,0,102,41.0,-999.0,-999.0,1.0,-4.73,152.56,7.5,0,0,0,0,0,0,0,0,2015-03-29T23:48:28.800007Z,-999.0,-999.0
102,-999.0,-999,0,0,103,33.0,-999.0,1.9000000000000004,3.0,-9.62,-79.57,7.5,0,0,0,0,1,1,1,1,1996-02-21T12:51:07.200000Z,-999.0,inf
103,-999.0,-999,1,1,104,20.0,1.4000000000000004,-999.0,1.0,16.5,-98.22,7.5,3,3,3,3,0,0,0,0,2012-03-20T18:02:44.160003Z,0.2610852443306239,-999.0
104,-999.0,-999,0,0,105,10.0,1.9000000000000004,-999.0,0.0,-2.6,68.38,7.5,2,2,2,2,0,0,0,0,2003-07-15T20:27:53.280004Z,10.351966874793863,-999.0
105,-999.0,-999,1,1,106,10.0,1.4000000000000004,-999.0,3.0,-55.28,-31.88,7.5,11,11,11,11,0,0,0,0,2016-08-19T07:32:26.880002Z,0.3113254539693397,-999.0
106,-999.0,-999,0,0,107,4.7,1.5999999999999996,-999.0,0.0,14.1,92.89,7.5,1,1,1,1,0,0,0,0,2009-08-10T19:55:37.920003Z,inf,-999.0
107,-999.0,-999,2,2,108,43.4,1.2999999999999998,0.40000000000000036,0.0,-6.76,155.02,7.5,18,18,18,18,13,13,13,13,2014-04-19T13:27:59.040004Z,0.33380746356456004,0.2752732616492669
108,-999.0,-999,1,1,109,22.0,0.7999999999999998,1.9000000000000004,0.0,1.07,126.28,7.5,25,25,25,25,1,1,1,1,2007-01-21T11:27:44.639999Z,0.43150988761806014,inf
109,-999.0,-999,1,1,110,26.0,1.7999999999999998,-999.0,1.0,-1.11,123.57,7.5,3,3,3,3,0,0,0,0,2000-05-04T04:21:12.960000Z,0.3252208791841537,-999.0
110,-999.0,-999,1,1,111,10.0,1.5999999999999996,1.0999999999999996,0.0,-1.76,134.3,7.5,3,3,3,3,7,7,7,7,2002-10-10T10:50:18.240003Z,3.2185387830720407,0.22802565614347411
111,-999.0,-999,0,0,112,36.0,-999.0,2.0,1.0,46.86,155.15,7.4,0,0,0,0,2,2,2,2,2009-01-15T17:49:37.920001Z,-999.0,5.892751916205116
112,-999.0,-999,0,0,113,41.7,-999.0,-999.0,1.0,-37.77,-75.05,7.4,0,0,0,0,0,0,0,0,2010-02-27T08:01:23.519999Z,-999.0,-999.0
