,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60
515,-999.000,-999.000,303,36.0,-999.0,-999.0,-999.0,-999.0,41.371,-123.431,3.9,1,0,1,0,1999-09-29T06:22:02.000003,-999.000,-999.000,0,0
516,-999.000,-999.000,304,6.0,-999.0,-999.0,-999.0,-999.0,38.138,-118.407,3.4,2,0,2,0,1999-11-12T15:50:52.000003,-999.000,-999.000,0,0
517,-999.000,-999.000,305,1.0,0.2,-999.0,0.2,-999.0,38.824,-122.789,3.6,2,0,2,0,1999-12-05T13:39:01.999998,-999.000,-999.000,0,0
518,-999.000,-999.000,306,-1.0,0.1,-999.0,0.1,-999.0,39.944,-120.496,3.7,1,0,1,0,1999-11-24T07:45:21.999997,-999.000,-999.000,0,0
519,-999.000,-999.000,307,5.0,0.4,0.3,0.4,0.3,38.769,-122.914,4.6,1,1,1,1,2000-01-11T14:19:50.999999,-999.000,-999.000,0,0
520,-999.000,-999.000,568,10.0,-999.0,-999.0,0.7,-999.0,35.396,-118.541,3.9,0,0,1,0,2018-04-13T15:24:44.000002,-999.000,-999.000,0,0
521,-999.000,-999.000,569,6.0,0.6,-999.0,0.6,-999.0,36.680,-121.315,4.1,2,0,2,0,2018-11-02T12:58:52.999999,-999.000,-999.000,0,0
522,-999.000,-999.000,560,7.0,-999.0,-999.0,-999.0,-999.0,37.120,-121.523,3.4,0,0,1,0,2007-01-17T17:43:20.999999,-999.000,-999.000,0,0
523,-999.000,-999.000,561,6.0,0.8,-999.0,0.8,-999.0,36.630,-121.244,4.6,3,0,3,0,2017-11-13T19:31:28.000001,-999.000,-999.000,1,1
524,-999.000,-999.000,562,2.0,0.3,0.1,0.3,0.1,37.547,-118.810,3.8,2,1,2,1,2017-12-08T22:19:16.000001,-999.000,-999.000,4,4
525,-999.000,-999.000,563,1.0,-999.0,-999.0,-999.0,0.5,38.785,-122.743,4.3,0,0,0,1,2018-01-18T05:55:09.999997,-999.000,-999.000,0,0
526,-999.000,-999.000,564,6.0,-999.0,0.1,-999.0,0.1,37.826,-121.984,3.5,0,2,0,2,2018-02-23T20:19:37.999997,-999.000,-999.000,0,0
527,-999.000,-999.000,565,13.0,1.0,-999.0,1.0,-999.0,35.057,-119.040,4.2,1,0,1,0,2018-04-16T16:36:48.000002,-999.000,-999.000,0,0
528,-999.000,-999.000,566,2.0,-999.0,0.3,-999.0,0.3,39.237,-120.109,3.8,0,1,0,1,2018-08-30T22:08:08.000002,-999.000,-999.000,0,0
529,-999.000,-999.000,567,1.0,-999.0,0.4,-999.0,0.4,38.826,-122.811,3.8,0,1,0,1,2018-09-01T15:45:04.999997,-999.000,-999.000,0,0
530,-999.000,-999.000,229,-1.0,0.2,-999.0,0.2,-999.0,37.550,-118.857,3.4,1,0,1,0,1995-08-24T09:10:34.000000,-999.000,-999.000,0,0
531,-999.000,-999.000,228,5.0,-999.0,0.2,0.3,0.1,36.681,-121.311,3.6,0,1,1,5,2014-09-09T18:17:56.000002,-999.000,-999.000,4,0
